Comp.1,Comp.2,DPH,Temperature,SL,Cluster
3.765544823010933,-0.07730272424213112,24,24,10.54,3
3.1071224481293354,0.560855283192236,24,24,9.769,2
2.7467646470786953,0.10493035834795639,24,24,9.002,2
2.412609130604698,0.21124444438242798,24,24,8.866,2
1.8585530001465331,0.46946007661827327,24,24,8.011,2
0.5229868135221324,0.29058532434666723,24,24,6.314,2
1.7113120179097216,0.7428979019410735,24,24,8.489,2
1.3789510208795908,0.2964361311459949,24,24,7.491,2
1.4123744394935782,0.24678754971498248,24,24,7.605,2
0.724159006017163,0.11771309433993567,24,24,6.514,2
0.7723839938888708,0.05323785572551122,24,24,6.506,2
1.1448324950529731,0.2412558215993009,24,24,6.967,2
-2.229178999782371,-0.40794088794536276,7,26,3.049,1
-2.6013135072672866,-0.38223472313276086,7,26,2.854,1
-2.2497829217939693,-0.3300284161918177,7,26,3.243,1
-2.110034262949902,-0.2681720889862557,7,26,3.523,1
-2.1919369070104087,-0.4830163658182215,7,26,3.271,1
-1.7964460089669299,-0.18204639740462683,7,26,3.921,1
-2.0695641857121854,-0.3075306349777203,7,26,3.496,1
-2.044639693545269,-0.21875311776077602,7,26,3.573,1
-1.9466581648208958,-0.20984719158875217,7,26,3.631,1
-2.108673026821161,-0.24874627815325273,7,26,3.492,1
-2.464539452493559,-0.3734034174426334,7,26,2.851,1
-2.222037813122741,-0.3259078743742533,7,26,3.163,1
-2.212748258190258,-0.3451249048975622,7,26,3.245,1
-2.3453665141063413,-0.284104259985526,7,26,3.066,1
-2.1050813180579153,-0.45191032823790056,7,26,3.361,1
-2.4251170690995085,-0.4641775394361491,7,26,2.956,1
-2.2431515882806603,-0.33201015003699863,7,26,3.237,1
-2.1853743563173147,-0.2952541377533414,7,26,3.34,1
-2.1809867820222366,-0.2539497223515279,7,26,3.348,1
-2.2753627637756324,-0.2997966836336495,7,26,3.32,1
-2.187858533446917,-0.19095505530719492,7,26,3.357,1
-1.9851814479507863,-0.25609704400262584,7,26,3.507,1
-2.041436644469188,-0.2182247629862333,7,26,3.36,1
-2.0463837781114838,-0.35847907123916933,7,26,3.483,1
-2.1157821201808757,-0.27834184597929135,7,26,3.294,1
-1.77221206499949,-0.08617886640317594,7,26,3.798,1
-1.869572779617853,-0.29120101606780086,7,26,3.737,1
-2.0153163070243116,-0.2404380284059779,7,26,3.69,1
-2.0602472852085176,-0.22933736691122636,7,26,3.546,1
-2.2128021040969954,-0.30029627127730085,7,26,3.44,1
-2.449200857325393,-0.21535143614983018,7,26,2.95,1
-2.313078727158952,-0.30422148977823077,7,26,3.205,1
-2.357700509661992,-0.36876278626922127,7,26,2.986,1
-2.5501837655567328,-0.2884029706927497,7,26,2.968,1
-2.422107310705175,-0.6222208130947474,7,26,2.81,1
-2.4301598633571637,-0.24346171604575242,7,26,3.136,1
-2.2323547341030947,-0.043372993715216746,7,26,3.208,1
-2.3044881720673307,-0.24453779987145421,7,26,3.217,1
-2.201304105356013,-0.2163617849715236,7,26,3.399,1
-2.309299279454093,-0.21355170402390286,7,26,3.261,1
-2.5687279854198355,-0.21592817808619974,7,26,2.851,1
-2.27598572961176,-0.21695057757039676,7,26,3.26,1
-2.5225499695081117,-0.28236229394107365,7,26,2.953,1
-2.559100845985798,-0.19955094622463254,7,26,2.92,1
-2.6809606926712855,-0.45855394925252413,7,26,2.713,1
-2.538051272508967,-0.37323025106701063,7,26,2.86,1
-2.3815743870098234,-0.34987849260108667,7,26,3.037,1
-2.4685558615676384,-0.2230380794360194,7,26,3.016,1
-2.3271602834262337,-0.3843016407077914,7,26,3.083,1
-2.285169532741647,-0.4541871243950113,7,26,3.148,1
-1.2104255924556873,0.03510678381505774,12,26,4.324,1
-0.9585035814951444,-0.04019128660152208,12,26,4.784,1
-0.6505933594586324,0.11375563379812599,12,26,5.117,1
-0.8426290608287476,0.13348813786519706,12,26,4.93,1
-0.3174000449776978,0.20846969557385175,12,26,5.513,2
-0.8303864214655218,0.06884648062886575,12,26,5.006,1
-0.9605412277573667,-0.009996049278179977,12,26,4.804,1
-0.6329014866983906,0.43743370435211826,12,26,5.377,1
-1.3292740453037248,-0.0726816965079399,12,26,4.315,1
-0.9567877200149798,0.08278377687315408,12,26,4.717,1
-1.3413868387463743,0.07500667872306158,12,26,4.174,1
-1.0042545445031799,0.2109339464799389,12,26,4.746,1
-1.9957929181293745,-0.13286588577316236,12,26,3.346,1
-1.4919687938962458,0.04135925197332882,12,26,4.114,1
-1.676278184590866,-0.008699000229805038,12,26,3.837,1
-0.5360823738091527,0.1622117460622078,12,26,5.45,1
-1.224352728444288,0.10536015819098182,12,26,4.414,1
-0.13039889040999797,0.2875188431242438,12,26,5.88,2
-0.672212456369267,0.041239008628431634,12,26,5.272,1
-0.8870234524035298,0.0622025513847871,12,26,4.947,1
-0.7494194031935907,0.3919910077019408,12,26,5.007,1
-1.0112400361398544,0.30928800482582497,12,26,4.7,1
-1.5105020870001464,-0.20710884403920257,12,26,3.577,1
-0.3207672513759063,0.08405945200603598,12,26,5.396,2
-0.6615563818898135,0.1706575724293608,12,26,5.144,1
-0.7001054384889206,0.5501671858016643,12,26,4.993,1
-0.826041456212661,0.40955574852063104,12,26,4.863,1
-0.02345485513718774,0.2514978325415987,12,26,5.632,2
-0.5845860613091407,0.5825029508087287,12,26,5.375,1
-0.5197500688370261,0.49513195385072384,12,26,5.53,1
